stara nazwa,stary adres,nowy adres,nowa nazwa,x,y
"Baza ZHP ""BERDO"" w Myczkowcach",38-623 Uherce Mineralne Myczkowce Ośrodek ZHP „BERDO” w Myczkowcach,"38-623 Myczkowce, Polska",Berdo. Ośrodek Związku Harcerstwa Polskiego,49.4234028,22.4160893
Stanica w Budach Michałowskich,"Budy Michałowskie 77, kod pocztowy 96-316","Budy Michałowskie 77, 96-316 Budy Michałowskie, Polska",Budy Michałowskie 77,52.050506,20.537789
"Stanica Harcerska ""Nasz Dom""",09-227 Szczutowo,"09-227 Szczutowo, Polska",Szczutowo,52.9403616,19.5740373
HSW - Harcerska Stanica Wodna 1 Harcerskiej Drużyny Wodnej im. Kpt. ż.w Mamerta Stankiewicza,"44-203, Boguchwałowice, Nadbrzeżna 50","Nadbrzeżna 50, 44-203 Boguchwałowice, Polska",Stanica 1HDW - HSW Boguchwałowice,50.4413999,19.1807592
Harcerska Baza Obozowa Stare Karpno ,HBO Stare Karpno 83-424 Lipusz,Polska,HBO Stare Karpno,54.1205212,17.8058391
Harcerska Baza Obozowa w Czernicy,"89-632 Czernica, gmina Brusy, leśnictwo Czernica","Jana Pawła II 3, 89-632 Czernica, Polska",Leśnictwo Czernica. Nadleśnictwo Przymuszewo,53.84470289999999,17.6414549
Harcerska Baza Obozowa Papiernia ,Papiernia 83-424 Lipusz,"83-424 Papiernia, Polska",Papiernia,54.1117625,17.7692007
HBO Winiec,Harcerska Baza Obozowa Winiec 14-140 Miłomłyn,BRAK,BRAK,BRAK
"Harcerska Baza Obozowa ""Azymut"" w Rekowie","Rekowo, 77-100 Bytów","Rekowo, Polska",Rekowo,54.08378889999999,17.4404073
"HCEEiZR ""Leśna Stacja""  (dawniej HBO Leśna Huta)","83-262 Czarna Woda, Leśna Huta 4, Leśnictwo Czarna Woda",BRAK,BRAK,BRAK
Ośrodek w Korzkwi,"Ul. Eleonory Wodzickiej 2, 32-088 Korzkiew","Eleonory Wodzickiej 2, 32-088 Korzkiew, Polska",Eleonory Wodzickiej 2,50.1621549,19.8816994
Harcerski Ośrodek Szkoleniowo - Wypoczynkowy Hufca ZHP Tuchola w Białej,"89-504 Legbąd, Biała 20, Leśnictwo Zielonka - Nadleśnictwo Woziwoda",BRAK,BRAK,BRAK
Baza Imiołki,"62-265, Imiołki, gmina Kiszkowo, Leśnictwo Zakrzewo, ","62-270 Zakrzewo, Polska",Leśnictwo Zakrzewo. Nadleśnictwo Gniezno,52.6353309,17.4007016
Uście,"ul. Orchowa 4, 67-415 Uście","Orchowa 4, 67-415 Uście, Polska",Orchowa 4,52.009727,15.9501078
"ZHP Ośrodek Szkoleniowo-Wypoczynkowy ""Perkoz""","11-015, Olsztynek, Waszeta 1, Leśnictwo Nowe Ramuki","Nowy Ramuk 19, 10-687 Olsztyn, Polska",Nadleśnictwo Nowe Ramuki,53.6509513,20.578318
Majdańska Polana,"22-671 Majdan Sopocki Drugi, Majdańska Polana, Leśnictwo Kalina",BRAK,BRAK,BRAK
Stanica Harcerska Trzy Morgi,"97-510, Stobnica 79A, leśnictwo Grzegorzówka","97-510, Polska",Leśnictwo Stobnica. Nadleśnictwo Piotrków,51.2518945,19.832531
