fid,stara nazwa,stary adres,nowy adres,nowa nazwa,x,y
53,Ośrodek Harcerski w Zarzeczu,Zarzecze  ul. Harcerska 1 34-326 ,"Harcerska 1, 34-326 Zarzecze, Polska",Harcerska 1,49.7289559,19.1846359
54,Ośrodek Harcerski w Jaworzu Nałężu,Jaworze - Nałęże   ,"Grabka 26, 43-384 Jaworze, Polska",Gościniec Nałęże,49.765057,18.910882
55,BP Hostel Gdynia - Stanica Harcerska,81-431 Gdynia ul. Bolesława Prusa 9-11,"Bolesława Prusa 9, 81-431 Gdynia, Polska",Bolesława Prusa 9,54.5055742,18.5542952
56,Stanica Harcerska Hufca ZHP Ostrołęka,"Kierwik, 12-150 Spychowo, Nadleśnictwo Spychowo","Mazurska 3, 12-150 Spychowo, Polska",Nadleśnictwo Spychowo,53.599776,21.344772
57,Baza zuchowa Hufca Łódź-Bałuty w Świętouściu,"72-514 Kołczewo, Baza zuchowa Hufca Łódź-Bałuty w Świętouściu, leśnictwo Kołczewo","Wrześnieńska 64, 91-045 Łódź, Polska","ZHP Hufiec Łódź-Bałuty ""Promienistych""",53.991824,14.647233
58,Stanica Harcerska Olchowiec,"38-709 Olchowiec, Olchowiec, gm. Czarna, powiat bieszczadzki","Olchowiec, Polska",Olchowiec,49.308808,22.512867
59,HARCERSKA BAZA OBOZOWA HUFCA ŁAGIEWNIKI W POBIEROWIE,72-346 POBIEROWO UL. POLNA LEŚNICTWO POBIEROWO,"Polna, 72-346 Pobierowo, Polska",Polna,54.0615541,14.9484229
60,Harcerska Baza Obozowa Gaj,"13-334 Gaj, leśnictwo Lipowa Góra, Nadleśnictwo Jamy","Łąkorz 160, 13-334 Łąkorz, Polska",Leśnictwo Lipowa Góra. Nadleśnictwo Jamy,53.463587,19.383537
61,"Baza ZHP ""BERDO"" w Myczkowcach",38-623 Uherce Mineralne Myczkowce Ośrodek ZHP „BERDO” w Myczkowcach,"38-623 Myczkowce, Polska",Berdo. Ośrodek Związku Harcerstwa Polskiego,49.4234028,22.4160893
62,Stanica w Budach Michałowskich,"Budy Michałowskie 77, kod pocztowy 96-316","Budy Michałowskie 77, 96-316 Budy Michałowskie, Polska",Budy Michałowskie 77,52.050506,20.537789
63,"Stanica Harcerska ""Nasz Dom""",09-227 Szczutowo,"09-227 Szczutowo, Polska",Szczutowo,52.975957,19.574212
64,HSW - Harcerska Stanica Wodna 1 Harcerskiej Drużyny Wodnej im. Kpt. ż.w Mamerta Stankiewicza,"44-203, Boguchwałowice, Nadbrzeżna 50","Nadbrzeżna 50, 44-203 Boguchwałowice, Polska",Stanica 1HDW - HSW Boguchwałowice,50.4413999,19.1807592
65,Harcerska Baza Obozowa Stare Karpno ,HBO Stare Karpno 83-424 Lipusz,Polska,HBO Stare Karpno,54.1205212,17.8058391
66,Harcerska Baza Obozowa w Czernicy,"89-632 Czernica, gmina Brusy, leśnictwo Czernica","Jana Pawła II 3, 89-632 Czernica, Polska",Leśnictwo Czernica. Nadleśnictwo Przymuszewo,53.845005,17.624295
67,Harcerska Baza Obozowa Papiernia ,Papiernia 83-424 Lipusz,"83-424 Papiernia, Polska",Papiernia,54.1117625,17.7692007
68,"Harcerska Baza Obozowa ""Azymut"" w Rekowie","Rekowo, 77-100 Bytów","Rekowo, Polska",Rekowo,54.079183,17.428751
69,Ośrodek w Korzkwi,"Ul. Eleonory Wodzickiej 2, 32-088 Korzkiew","Eleonory Wodzickiej 2, 32-088 Korzkiew, Polska",Eleonory Wodzickiej 2,50.1621549,19.8816994
70,Baza Imiołki,"62-265, Imiołki, gmina Kiszkowo, Leśnictwo Zakrzewo, ","62-270 Zakrzewo, Polska",Leśnictwo Zakrzewo. Nadleśnictwo Gniezno,52.564899,17.383858
71,Uście,"ul. Orchowa 4, 67-415 Uście","Orchowa 4, 67-415 Uście, Polska",Orchowa 4,52.009727,15.9501078
